Title,Price,Rating,Description,Author,LINK
The Naani Diaries,$28.19,4.7,"""When overachieving New Yorker Radhika Anand is dumped by Siddhant, her boyfriend of two years, she is devastated. With the threat of loneliness looming large, she turns to the only woman she can expect empathy from-her grandmother: her beloved Naani, whose own legendary love story in the 1960s has been recorded in an old diary. Radhika abruptly decides to relocate to Bombay-to the comfort of her Naani's home and the veritable circus of the Arranged Marriage market. But if Radhika is serious about finding a suitable match, she must pay no attention to Zain Rajan, the sexy 'bad boy' next door. A big-hearted novel about love and family, this book has it all: from witty banter and clever observations to a Big Fat Indian Wedding.""",Riva Razdan,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfYXRmOjIwMTA4NjA0NzIzODk4OjowOjo&url=%2FNaani-Diaries-Riva-Razdan%2Fdp%2F9356291608%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Your Time Will Come,$8.99,4.4,"Love can break the strongest of men and they are the ones to fall hard. But after the fall, will they be able to bounce back and start afresh? Will they ever realize that true love is supposed to “build” them and not “break” them? Siddharth Saxena, a young and dynamic CEO, falls apart when the girl he believes was his, leaves. Depression drives Sid into a web of darkness. His life slips, his business falters, and the world around him shatters. Shanaya enters his life as his wife, unaware of his personal battles. He likes her but does not want to acknowledge the feelings she evokes in him, as he is wary of falling into the trap of love again. But she trusts him and believes that his time will come. He cannot help but be inspired by her positivity which awakens a determination within him. With her by his side, can he rediscover himself and get his life back? Or will he stay broken forever?",Saranya Umakanthan,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfYXRmOjIwMDk0NjMyOTI5NDk4OjowOjo&url=%2FYour-Time-Will-Saranya-Umakanthan%2Fdp%2F9354400701%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Touch of Eternity,$12.95,4.3,"Born on the same day and at the same time, Druvan and Anvesha know they are soulmates in every sense of the word. Their parents, however, refuse to accept their 'togetherness' at first and try to tear them apart. Druvan and Anvesha try their best to explain why that cannot happen. In the same timeline, the world has made huge progress in science and some of the first experiments to combine the body and the soul have begun. This is an opportunity for them to prove their love and tell the world that it is love that can make the impossible, possible. Druvan and Anvesha participate in the experiment as if their life depends on it, because it does. The only thing that remains to be seen is, will the dream of a man to control love and life come true? And when the time comes, can one stay true to their soulmate?",Datta Durjoy,https://www.amazon.com/Touch-Eternity-Datta-Durjoy/dp/014344834X/ref=sr_1_4?keywords=romantic+books&qid=1680601119&s=books&sr=1-4
It Ends with Us: A Novel (1),$9.95,4.7,"From the #1 New York Times bestselling author of It Starts with Us and All Your Perfects, a “brave and heartbreaking novel that digs its claws into you and doesn’t let go, long after you’ve finished it” (Anna Todd, New York Times bestselling author) about a workaholic with a too-good-to-be-true romance can’t stop thinking about her first love—soon to be a major motion picture starring Blake Lively and Justin Baldoni.Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town where she grew up—she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life seems too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He’s also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn’t hurt. Lily can’t get him out of her head. But Ryle’s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can’t help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan—her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. An honest, evocative, and tender novel, It Ends with Us is “a glorious and touching read, a forever keeper. The kind of book that gets handed down” (USA TODAY).",Colleen Hoover,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=sr_1_5?keywords=romantic+books&qid=1680601119&s=books&sr=1-5
Falling In Love Again:Stories of Love and Romance,$11.99,4.4,"Once I saw her, leaning over the balcony railing. I stopped the taxi and waved to her. She waved back, smiling like the sun breaking through clouds. Suffused with warmth and passion, the stories in Falling in Love Again showcase the myriad variations of romantic love-fleeting, intimate, joyous, heartbreaking. Featuring classic stories by Ruskin Bond, such as 'The Eyes Have It' and 'The Girl from Copenhagen', this stirring collection captures the range of feelings that are indubitably part of the infinite spectrum of love.",Ruskin Bond,https://www.amazon.com/Falling-Love-Again-Stories-Romance/dp/8129120437/ref=sr_1_6?keywords=romantic+books&qid=1680601119&s=books&sr=1-6
When I Am With You,$12.99,4.5,"You can plan everything, but you can't plan with whom and when you'll fall in love, isn't it?  Aishwarya, at twenty-eight years, would rather be a single mother than trust the 'normal' family structure. In her new start-up, she wants to revolutionize childcare for young woman professionals-this is her ultimate goal. Plus, she's in a hurry to do it all. On her mind is the ambitious and good-looking Akshay, perfect genetic material, but he's not ready to be part of her plans. Yet. In comes Dhiren, who has made and lost his money in cryptocurrency. He takes up the first floor of Aishwarya's nursery building and, by a queer coincidence, begins to work for her. Her friends Smriti and Vinny, as protective as mother hens, warn her against Dhiren. There is something that he's hiding along with his friend Neeraj-they just don't know what. Things begin to take shape but really, it's just the beginning of a disaster. The only thing that can save them is what they don't want-love. Crazy, quirky and so utterly romantic, this book is the ultimate relationship roller coaster!",Durjoy Datta,https://www.amazon.com/When-Am-You-Durjoy-Datta/dp/0143448358/ref=sr_1_7?keywords=romantic+books&qid=1680601119&s=books&sr=1-7
Ugly Love: A Novel,$9.00,4.7,"From Colleen Hoover, the #1 New York Times bestselling author of It Starts with Us and It Ends with Us, aheart-wrenching love story that proves attraction at first sight can be messy. When Tate Collins meets airline pilot Miles Archer, she doesn't think it's love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her. Never ask about the past.  Don’t expect a future. They think they can handle it, but realize almost immediately they can’t handle it at all. Hearts get infiltrated.  Promises get broken.  Rules get shattered. Love gets ugly.",Colleen Hoover,https://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover/dp/1476753180/ref=sr_1_8?keywords=romantic+books&qid=1680601119&s=books&sr=1-8
Be My Perfect Ending,$13.24,4.2,"Not every story has a happy ending, but is a perfect ending all that matters? Armaan is a young television writer and seems to have it all – a dream job, ample money and a good place to live in Mumbai. Despite all that, his heart lies somewhere in his hometown Indore. Merry and beaming through all of life's ups and downs, Sara is a little desolate and now needs a different space to rethink her life as she joins a leading television channel in Mumbai. Armaan and Sara meet in FILMY style and quite obviously then, cannot help but fall in love. The passionate new romance in his life throws everything else aside, but little does he know that there's a storm headed their way. Walking together, they stumble upon long-buried truths, shocking new twists and tough decisions. Be My Perfect Ending is a story of love that knows no bounds, of endings that are far from ordinary, and new beginnings that hold a promise of LOVE.",Arpit Vageria,https://www.amazon.com/Be-Perfect-Ending-Arpit-Vageria/dp/9387022080/ref=sr_1_9?keywords=romantic+books&qid=1680601119&s=books&sr=1-9
Until Love Sets Us Apart: To Love With Love,$8.99,4.4,"Aisha and Rohit are like chalk and cheese. While Rohit is completely aimless and imperfect, Aisha is focussed and a perfectionist. Just two opposites. But don t they say opposites attract? He loves her . . . She loves him. Their wedding is on the cards but their love is put to the test when an unforeseen incident hits their lives. Can loving somebody immensely set you apart? Can everything just change in the blink of an eye? Inspired from real-life incidents, this Best Romance Book of the Year award winning novel is a heart-wrenching tale of true love, friendship and destiny. And a young author s quest to find out what exactly happened . . .",Aditya Nighhot,https://www.amazon.com/Until-Love-Sets-Us-Apart/dp/9388144252/ref=sr_1_12?keywords=romantic+books&qid=1680601119&s=books&sr=1-12
Our Love Story,$8.99,4.5,"Veronica is done. Done trying to make it as a model. Done with getting sexually harassed by casting directors. And done seeing her mother struggle to provide for her family. Tonight, everything ends. She teeters over the edge of the parapet, imagining how the cold water of the Arabian Sea will take her breath away when she drowns. And then, she is stopped. By a man with an endearing smile and a guitar strapped to his back. Enter Aditya Bakshi. Aditya is the son of a filthy rich business tycoon, who lives each day like its his last. He seems to have it all, but behind his happy-go-lucky persona, he is hiding a painful secret. Both feel that they cant be together. But will that stop them from falling in love? Our Love Story is a sensitive, romantic, and motivating story about selfless love and intricate relationshipsan inspiring tale of love and heartbreak, hope and hopelessness, friendship and hatred, smiles and tears.",Rohit Sharma,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MTM4NDI3NDA3NDA5NjQ3OjE2ODA2MDExMTk6c3BfbXRmOjIwMDM2Mzg0NjMyOTAyOjowOjo&url=%2FOur-Love-Story-Rohit-Sharma%2Fdp%2F9389717434%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dromantic%2Bbooks%26qid%3D1680601119%26s%3Dbooks%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
