Title,Price,Rating,Description,Author,LINK
Handbook Mathematics,$38.49,4.4,"Mathematics of higher level has too many theories, rules and remembering all of them on tips all the time is not an easy task. Handbook of Mathematics is an important, useful and compact reference book suitable for everyday study, problem solving or exam revision for class XI XII. This book is a multi-purpose quick revision resource that contains almost all key notes, terms, definitions and formulae that all students professionals in mathematics will want to have this essential reference book within easy reach. Its unique format displays formulae clearly, places them in the context and crisply identifies describes all the variables involved, summary about every equations and formula that one might want while learning mathematics is one of the unique features of the book, a stimulating and crisp extract of fundamental mathematics is to be enjoyed by the beginners and experts equally. The book is from its first edition and one of the most useful books of its type. Table of content Sets, Relations and Binary Operations, Complex Numbers, Quadratic Equations and Inequalities, Sequences and Series, Permutation and Combinations, Binomial Theorem and Mathematical Induction, Matrices, Determinant, Probability, Trigonometric Functions, Inverse Trigonometric Functions, Solution of Triangles, Heights and Distances, Rectangular Axis and Straight Lines, Circles, Parabola, Ellipse, Hyperbola, Functions, Limits, Continuity and Differentiability, Derivatives, Applications of Derivatives, Indefinite Integrals, Definite Integrals, Applications of Integrations, Differential Equations, Vectors, Three Dimensional Geometry, Statistics, Mathematical Reasoning and Boolean Algebra, Numerical Method, Linear Programming Problem, Computing, Group Theory, Elementary Arithmetic-I, Elementary Arithmetic-II, Percentage and Its Applications, Elementary Algebra, Logarithm, Geometry, Mensuration.",Unknown,https://www.amazon.com/Handbook-Mathematics-Arihant-Experts/dp/9313196506/ref=sr_1_3?keywords=mathematics+books&qid=1680591513&s=books&sr=1-3
Vedic Mathematics,$13.99,4.2,"Vedic Mathematics: The Problem Solver contains a list of mental calculation techniques based on the original Vedas written by Maharishi Ved Vyas.It focuses on ?Ganita Sutras? which are easier to learn, faster to use and less prone to errors and help develop creativity, logical thinking and intuition.Vedic Mathematics can be used to remove math phobia and can be taught to (school) children as an easy learning material along with other high-speed methods.",Maple Press,https://www.amazon.com/Vedic-Mathematics-Indian-Classics-Maple/dp/9350332590/ref=sr_1_8?keywords=mathematics+books&qid=1680591513&s=books&sr=1-8
Cambridge Primary Mathematics Learner's Book 2 with Digital Access (1 Year) (Cambridge Primary Maths),$18.52,4.9,"Discover our new resources for the Cambridge International Primary and Lower Secondary Curriculum Frameworks. Whether they are working with a partner to make 3D shapes using cubes or sorting data using a Carroll diagram, Cambridge Primary Mathematics helps your learners develop their mathematical thinking skills. They'll be fully supported with worked examples and plenty of practice exercises, while projects throughout the book provide opportunities for deeper investigation of mathematical concepts – including developing comparison skills and working out proportions using drinks. With key word boxes, clear diagrams and supporting illustrations, the course makes maths accessible for second language learners.",Cherri Moseley,https://www.amazon.com/Cambridge-Primary-Mathematics-Learners-Digital/dp/1108746446/ref=sr_1_9?keywords=mathematics+books&qid=1680591513&s=books&sr=1-9
Cambridge Lower Secondary Mathematics Learner's Book 8 with Digital Access (1 Year) (Cambridge Lower Secondary Maths),$42.35,4.8,"Whether you're learning about distance, area and volume or translating shapes using vectors, this series helps you develop your mathematical thinking skills. You'll be fully supported with worked examples and plenty of practice exercises while projects throughout the book provide opportunities for deeper investigation of mathematical ideas and concepts, such tessellating quadrilaterals or algebraic expressions. With key word boxes, clear diagrams and supporting illustrations, the course makes maths accessible for second language learners.",Lynn Byrd,https://www.amazon.com/Cambridge-Secondary-Mathematics-Learners-Digital/dp/1108771521/ref=sr_1_13?keywords=mathematics+books&qid=1680591513&s=books&sr=1-13
Cambridge Lower Secondary Mathematics Learner's Book 9 with Digital Access (1 Year) (Cambridge Lower Secondary Maths),$42.35,4.8,"Whether you're learning about decimals, percentages and rounding or probability and ratio, this series helps you develop your mathematical thinking skills. You'll be fully supported with worked examples and plenty of practice exercises while projects throughout the book provide opportunities for deeper investigation of mathematical ideas and concepts, such working out the most cost effective cinema membership. With key word boxes, clear diagrams and supporting illustrations, the course makes maths accessible for second language learners.",Lynn Byrd,https://www.amazon.com/Cambridge-Secondary-Mathematics-Learners-Digital/dp/1108783775/ref=sr_1_14?keywords=mathematics+books&qid=1680591513&s=books&sr=1-14
Mathematics Class VIII,$25.90,4.5,the price sucks,R.D. Sharma,https://www.amazon.com/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X/ref=sr_1_2?keywords=maths+by+RD+sharma&qid=1680592202&s=books&sr=1-2
Mathematics for Class 10 by R D Sharma,$41.56,4.5,The book was new and packed welll!  It reached me on time!,R.D. Sharma,https://www.amazon.com/Mathematics-Class-Sharma-Examination-2020-2021/dp/8194192641/ref=sr_1_9?keywords=maths+by+RD+sharma&qid=1680592202&s=books&sr=1-9
Mathematics for Class 9,$37.45,4.5,It also contains ncert and ncert exempler important questions.awesome book.this is the latest version.and it contains many questions.it also contains verytough questions.it is complete package for class 9 maths.,R.D. Sharma,https://www.amazon.com/Mathematics-Class-Sharma-2019-20-Session/dp/8193663063/ref=sr_1_17?keywords=maths+by+RD+sharma&qid=1680592202&s=books&sr=1-17
Math Magic - Textbook in Mathematics for Class - 4 - 425,"$11,110",4.3,The book is delivered on MRP. It is hard 2 believe that ncert books can be available on MRPs. Free prime delivery. The quality of paper is also as per ncert standards.,NCERT,https://www.amazon.com/Math-Magic-Textbook-Mathematics-Class/dp/8174506985/ref=sr_1_13?keywords=maths+by+NCERT&qid=1680592418&s=books&sr=1-13
Math Magic Textbook in Mathematics for Class - 2 - 219,$16.70,4.3,MRP wrongly given as Rs.95 in the description. Inside the book it is Rs.55. What to comment on an MRI or below MRP sale?,NCERT,https://www.amazon.com/Math-Magic-Textbook-Mathematics-Class/dp/8174506799/ref=sr_1_14?keywords=maths+by+NCERT&qid=1680592418&s=books&sr=1-14
